intnum,q0,q1a,q1b,q2,q3,f1,f2a,f2b,f3,f4,f5_1,f5_2,f5_3,f5_4,f5_5,f5_6,f5_7,f5_8,f5_9,f5_10,f5_11,f5_12,f5_13,f5_14,f5_15,f5_16,s1,s2,s3,gew
4,1,1,-99.99,1,1,1,200,-99.99,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.124519
19,1,9,-99.99,1,1,1,30,-99.99,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-99.99,1,1.126647
44,2,-99.99,2,1,-99.99,1,-90,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
47,2,-99.99,2,1,-99.99,1,30,-99.99,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
55,2,-99.99,1,1,-99.99,1,20,-99.99,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
60,2,-99.99,3,1,-99.99,1,200,-99.99,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
64,2,-99.99,2,1,-99.99,5,0,-99.99,-99.99,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
66,2,-99.99,1,1,-99.99,1,200,-99.99,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
69,2,-99.99,1,1,-99.99,4,10,-99.99,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
78,1,3,-99.99,1,2,5,0,-99.99,-99.99,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1.062491
82,2,-99.99,1,1,-99.99,1,20,-99.99,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
94,2,-99.99,2,1,-99.99,2,10,-99.99,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
97,2,-99.99,3,1,-99.99,2,142,-99.99,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
103,1,8,-99.99,1,2,1,500,-99.99,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1.100399
126,1,3,-99.99,1,1,4,10,-99.99,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.120894
142,1,10,-99.99,1,-99.99,2,10,-99.99,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,.73848
156,1,2,-99.99,1,1,4,30,-99.99,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,2,1.128891
164,2,-99.99,1,1,-99.99,5,0,-99.99,-99.99,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
